name,year,selling_price_usd,miles_driven,fuel,seller_type,transmission,owner,engine,max_power,mileage_mpg,seats
Hyundai Xcent 1.2 Kappa SX Option AT,2016,15041.64,44738.7,Petrol,Dealer,Automatic,First Owner,1197.0,82.0,44.93,5.0
Maruti Alto LX BSIII,2008,3194.68,42253.2,Petrol,Dealer,Manual,Third Owner,796.0,46.3,46.34,5.0
Hyundai i20 1.4 Asta Option,2017,19301.22,68350.8,Diesel,Individual,Manual,First Owner,1396.0,88.73,53.02,5.0
Maruti Wagon R VXI,2009,4925.14,47845.6,Petrol,Dealer,Manual,Second Owner,998.0,67.05,51.25,5.0
Tata Manza Aura (ABS) Quadrajet,2010,5324.47,62137.1,Diesel,Individual,Manual,Second Owner,1248.0,90.0,44.22,5.0
Maruti Swift VXI,2019,16372.76,6213.7,Petrol,Individual,Manual,First Owner,1197.0,81.8,49.89,5.0
Maruti Eeco 7 Seater Standard BSIV,2016,7188.04,62137.1,Petrol,Individual,Manual,Third Owner,1196.0,73.0,36.15,7.0
Maruti Baleno Zeta 1.2,2018,16239.65,21748.0,Petrol,Individual,Manual,First Owner,1197.0,83.1,50.34,5.0
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,16638.98,43496.0,Diesel,Individual,Automatic,Second Owner,2179.0,120.0,27.73,8.0
Ford Freestyle Titanium Petrol BSIV,2020,10648.95,3106.9,Petrol,Individual,Manual,Second Owner,1194.0,94.68,44.69,5.0
Hyundai Verna VTVT 1.6 SX,2017,23054.97,23487.8,Petrol,Individual,Manual,First Owner,1591.0,121.3,39.99,5.0
Volkswagen Passat 1.8 TSI MT,2010,18635.66,70836.3,Petrol,Individual,Manual,First Owner,1798.0,160.0,33.64,5.0
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,7986.71,29825.8,Petrol,Individual,Manual,First Owner,1172.0,65.0,37.16,5.0
Mahindra XUV500 W11 Option AWD,2019,45258.03,19883.9,Diesel,Individual,Manual,First Owner,2179.0,155.0,35.52,7.0
Tata Indigo CS LS (TDI) BS-III,2016,9983.39,62137.1,Diesel,Individual,Manual,First Owner,1405.0,69.01,44.9,5.0
Hyundai Verna 1.6 SX,2013,13896.88,93205.6,Diesel,Individual,Manual,Second Owner,1582.0,126.32,52.5,5.0
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,12033.28,42874.6,Diesel,Individual,Manual,First Owner,1396.0,88.76,51.51,5.0
Toyota Corolla Altis G,2009,7986.71,62137.1,Petrol,Individual,Manual,Second Owner,1798.0,138.1,34.18,5.0
Maruti Celerio VXI,2020,12645.63,8077.8,Petrol,Individual,Manual,First Owner,998.0,67.04,50.88,5.0
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,20765.45,37282.3,Diesel,Individual,Manual,First Owner,1248.0,88.5,57.16,5.0
Maruti Swift Dzire VXI,2017,15840.31,24854.8,Petrol,Individual,Manual,First Owner,1197.0,83.14,49.04,5.0
Maruti Wagon R VXI BS IV,2017,11713.84,21748.0,Petrol,Individual,Manual,First Owner,998.0,67.04,48.24,5.0
Nissan Terrano XL 85 PS,2014,10648.95,43496.0,Diesel,Individual,Manual,Third Owner,1461.0,83.8,48.1,5.0
Hyundai Creta 1.6 CRDi SX,2016,30349.5,31068.6,Diesel,Individual,Manual,First Owner,1582.0,126.2,46.27,5.0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,22629.01,47310.6,Diesel,Individual,Manual,First Owner,1498.0,98.96,54.1,5.0
Maruti Swift Dzire VDi,2012,9850.28,108739.9,Diesel,Individual,Manual,Fourth & Above Owner,1248.0,73.9,45.4,5.0
Renault KWID 1.0,2018,9317.83,15534.3,Petrol,Individual,Manual,First Owner,999.0,67.0,54.12,5.0
Maruti Celerio VXI,2015,9584.05,24854.8,Petrol,Individual,Manual,Second Owner,998.0,67.04,54.33,5.0
Maruti Alto LXi,2008,2795.35,40389.1,Petrol,Individual,Manual,Fourth & Above Owner,796.0,46.3,46.34,5.0
Maruti Ertiga VDI,2013,16638.98,55923.4,Diesel,Individual,Manual,Second Owner,1248.0,88.76,48.85,7.0
Hyundai Santro Xing GLS,2009,3594.02,49709.7,Petrol,Individual,Manual,Second Owner,1086.0,62.1,42.15,5.0
Maruti Ertiga VDI,2015,18635.66,68350.8,Diesel,Individual,Manual,Second Owner,1248.0,88.76,48.85,7.0
Honda Amaze S i-VTEC,2019,18369.44,809.6,Petrol,Dealer,Manual,First Owner,1198.0,86.7,41.87,5.0
Audi Q5 35TDI Premium Plus,2018,105823.92,19759.6,Diesel,Dealer,Automatic,First Owner,1968.0,188.0,40.01,5.0
Lexus ES 300h,2019,137105.2,12427.4,Petrol,Dealer,Automatic,First Owner,2487.0,214.56,52.62,5.0
Jaguar XF 2.0 Diesel Portfolio,2017,85191.58,27961.7,Diesel,Dealer,Automatic,First Owner,1999.0,177.0,45.47,5.0
Jeep Wrangler 2016-2019 3.6 4X4,2017,109151.72,10563.3,Petrol,Individual,Automatic,First Owner,3604.0,280.0,22.35,5.0
Land Rover Discovery Sport TD4 SE,2019,119800.66,13048.8,Diesel,Dealer,Automatic,First Owner,1999.0,148.31,30.18,7.0
Mercedes-Benz S-Class S 350 CDI,2017,159734.22,22990.7,Diesel,Dealer,Automatic,First Owner,2987.0,254.79,31.75,5.0
BMW 5 Series 520d Sport Line,2018,100898.78,18330.4,Diesel,Dealer,Automatic,First Owner,1995.0,187.74,52.88,5.0
BMW X4 M Sport X xDrive20d,2019,154409.75,4660.3,Diesel,Dealer,Automatic,First Owner,1995.0,190.0,39.47,5.0
Skoda Superb LK 1.8 TSI AT,2018,49650.69,31068.6,Petrol,Dealer,Automatic,First Owner,1798.0,177.46,34.51,5.0
Mercedes-Benz E-Class E250 Edition E,2016,71880.4,21748.0,Diesel,Dealer,Automatic,First Owner,2143.0,204.0,35.28,5.0
MG Hector Sharp AT BSIV,2019,46589.15,11806.0,Petrol,Dealer,Automatic,First Owner,1451.0,141.0,32.84,5.0
Honda City i-VTEC CVT VX,2017,21164.78,25476.2,Petrol,Dealer,Automatic,First Owner,1497.0,117.6,42.34,5.0
Toyota Corolla Altis 1.8 G CVT,2013,16638.98,24233.5,Petrol,Dealer,Automatic,First Owner,1798.0,138.03,33.59,5.0
Volvo XC40 D4 R-Design,2018,90516.06,13670.2,Diesel,Dealer,Automatic,First Owner,1969.0,190.0,42.34,5.0
Audi Q7 35 TDI Quattro Premium,2015,70549.28,32932.7,Diesel,Dealer,Automatic,First Owner,2967.0,241.4,28.39,7.0
Maruti Ciaz ZDi,2015,14242.97,24854.8,Diesel,Dealer,Manual,First Owner,1248.0,88.5,61.65,5.0
Mercedes-Benz S-Class S 350 CDI,2017,155740.86,29204.4,Diesel,Dealer,Automatic,First Owner,2987.0,282.0,31.75,5.0
BMW 5 Series 523i,2010,25956.81,44863.0,Petrol,Dealer,Automatic,Second Owner,2497.0,150.0,25.4,5.0
Hyundai Elantra S,2016,21431.01,31006.4,Petrol,Dealer,Manual,First Owner,1797.0,147.5,38.34,5.0
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,69883.72,5592.3,Diesel,Dealer,Automatic,First Owner,1999.0,177.0,31.99,5.0
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,21590.74,6835.1,Petrol,Dealer,Manual,First Owner,1198.0,108.5,39.99,5.0
Volkswagen Vento Petrol Highline,2011,9983.39,30447.2,Petrol,Individual,Manual,First Owner,1598.0,103.6,35.38,5.0
Hyundai Elantra SX,2012,14642.3,59030.2,Petrol,Individual,Manual,First Owner,1797.0,147.5,38.34,5.0
Skoda Rapid 1.6 MPI AT Elegance,2016,17171.43,6835.1,Petrol,Dealer,Automatic,First Owner,1598.0,103.5,33.64,5.0
Mercedes-Benz CLA 200 CGI Sport,2018,67887.04,11184.7,Petrol,Dealer,Automatic,First Owner,1991.0,183.0,35.38,5.0
Maruti Ertiga ZXI,2014,15946.8,28645.2,Petrol,Dealer,Manual,First Owner,1373.0,93.7,37.68,7.0
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,71880.4,9941.9,Petrol,Dealer,Automatic,First Owner,1991.0,181.04,34.67,5.0
Honda City V AT,2017,23294.57,11184.7,Petrol,Dealer,Automatic,First Owner,1497.0,116.3,36.69,5.0
Toyota Glanza V CVT,2019,23826.99,5998.7,Petrol,Dealer,Automatic,First Owner,1197.0,81.8,46.01,5.0
Maruti Alto K10 VXI,2011,4658.91,6835.1,Petrol,Dealer,Manual,First Owner,998.0,67.05,56.33,5.0
Maruti Swift VXI,2012,9051.61,15099.3,Petrol,Dealer,Manual,First Owner,1197.0,81.8,49.89,5.0
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,40599.11,26198.9,Diesel,Dealer,Automatic,Second Owner,2755.0,171.5,26.72,7.0
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,27287.93,4971.0,Diesel,Dealer,Automatic,First Owner,1497.0,108.5,50.57,5.0
BMW 3 Series 320d Luxury Line,2016,57238.1,18641.1,Diesel,Dealer,Automatic,First Owner,1995.0,190.0,53.37,5.0
Toyota Camry 2.5 Hybrid,2016,50582.5,25476.2,Petrol,Dealer,Automatic,First Owner,2494.0,157.7,45.07,5.0
BMW 5 Series 520d Luxury Line,2016,77204.87,7456.5,Diesel,Dealer,Automatic,First Owner,1995.0,190.0,42.62,5.0
Toyota Camry W4 (AT),2009,11980.07,44117.3,Petrol,Dealer,Automatic,First Owner,2362.0,164.7,28.46,5.0
Maruti Ertiga BSIV ZXI Plus,2016,22629.01,12427.4,Petrol,Individual,Manual,First Owner,1373.0,91.1,41.16,7.0
Volvo XC90 T8 Excellence BSIV,2017,266223.7,18641.1,Petrol,Individual,Automatic,First Owner,1969.0,400.0,98.79,4.0
Volkswagen Vento Diesel Highline,2011,7986.71,62137.1,Diesel,Individual,Manual,Second Owner,1598.0,103.6,48.31,5.0
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,15307.86,5903.0,Petrol,Individual,Manual,First Owner,1196.0,86.8,42.72,5.0
Ford Figo Diesel LXI,2011,4259.58,74564.5,Diesel,Individual,Manual,First Owner,1399.0,68.0,47.04,5.0
Maruti Swift VXI Optional,2015,13710.52,22742.2,Petrol,Individual,Manual,First Owner,1197.0,81.8,47.98,5.0
Maruti Wagon R AMT VXI,2015,10382.72,31068.6,Petrol,Individual,Automatic,Second Owner,998.0,67.0,48.24,5.0
Hyundai i20 Magna 1.2,2016,14642.3,8699.2,Petrol,Individual,Manual,Second Owner,1197.0,81.83,43.75,5.0
Maruti 800 Std,1999,1064.89,24854.8,Petrol,Individual,Manual,Second Owner,796.0,37.0,37.87,4.0
Maruti Ritz VDi,2010,5856.92,74564.5,Diesel,Individual,Manual,First Owner,1248.0,73.9,49.63,5.0
Hyundai Grand i10 Magna,2015,11314.51,43496.0,Petrol,Individual,Manual,First Owner,1197.0,82.0,44.46,5.0
Volkswagen Ameo 1.0 MPI Trendline,2019,12778.74,8077.8,Petrol,Individual,Manual,First Owner,999.0,75.0,45.73,5.0
Hyundai Grand i10 Sportz,2014,10648.95,37282.3,Petrol,Individual,Manual,Second Owner,1197.0,82.0,44.46,5.0
Maruti Swift Dzire VXI,2014,12965.09,21748.0,Petrol,Individual,Manual,First Owner,1197.0,85.8,44.93,5.0
Hyundai Xcent 1.2 Kappa S,2016,10276.23,27340.3,Petrol,Individual,Manual,Second Owner,1197.0,82.0,44.93,5.0
Honda City 1.5 EXI,2005,2662.24,74564.5,Petrol,Individual,Manual,Second Owner,1493.0,100.0,30.58,5.0
Toyota Corolla Altis Diesel D4DG,2010,7986.71,37282.3,Diesel,Individual,Manual,First Owner,1364.0,87.2,50.41,5.0
Daewoo Matiz SD,2000,2662.24,37282.3,Petrol,Individual,Manual,First Owner,796.0,53.0,43.51,5.0
Toyota Fortuner 4x2 Manual,2014,46589.15,18641.1,Diesel,Individual,Manual,Second Owner,2982.0,168.5,30.58,7.0
Mahindra KUV 100 mFALCON G80 K8,2016,11980.07,9320.6,Petrol,Individual,Manual,Second Owner,1198.0,82.0,42.69,6.0
Tata Zest Quadrajet 1.3 75PS XM,2017,13044.96,55923.4,Diesel,Individual,Manual,First Owner,1248.0,74.0,53.98,5.0
Honda City 1.5 S MT,2009,9184.72,29204.4,Petrol,Individual,Manual,Second Owner,1497.0,118.0,39.99,5.0
Maruti Zen LXI,2005,2262.9,55923.4,Petrol,Individual,Manual,First Owner,993.0,60.0,40.69,5.0
Maruti Wagon R VXI BS IV with ABS,2010,5723.81,74937.3,Petrol,Individual,Manual,Second Owner,998.0,67.1,44.46,5.0
Hyundai Verna Transform SX VTVT,2010,8519.16,62137.1,Petrol,Individual,Manual,Third Owner,1599.0,103.2,38.1,5.0
Maruti Swift Dzire VXI,2016,12246.26,37282.3,Petrol,Individual,Manual,Second Owner,1197.0,83.14,49.04,5.0
Hyundai Getz GLS,2005,1730.45,53437.9,Petrol,Individual,Manual,First Owner,1341.0,83.0,35.99,5.0
Hyundai Elite i20 Sportz Plus BSIV,2020,19168.11,3106.9,Petrol,Individual,Manual,First Owner,1197.0,81.86,43.75,5.0
Maruti Ciaz 1.3 Alpha,2017,21297.9,22990.7,Diesel,Individual,Manual,First Owner,1248.0,88.5,66.07,5.0
Tata Tigor 1.2 Revotron XZ,2019,13843.63,8699.2,Petrol,Individual,Manual,First Owner,1199.0,84.0,47.75,5.0
Maruti Ertiga VDI,2015,15440.97,43496.0,Diesel,Individual,Manual,First Owner,1248.0,88.76,48.85,7.0
Honda City i VTEC S,2015,15973.42,31068.6,Petrol,Individual,Manual,First Owner,1497.0,117.3,40.93,5.0
Honda Brio S MT,2014,7720.49,37282.3,Petrol,Individual,Manual,Second Owner,1198.0,86.8,45.63,5.0
Maruti Swift Dzire VXI,2017,14642.3,31068.6,Petrol,Individual,Manual,First Owner,1197.0,83.14,49.04,5.0
Hyundai i20 Sportz 1.2,2013,9983.39,43496.0,Petrol,Individual,Manual,First Owner,1197.0,82.85,43.51,5.0
Maruti Wagon R AMT VXI,2018,11181.4,21748.0,Petrol,Individual,Automatic,First Owner,998.0,67.0,48.24,5.0
Maruti Swift Dzire VXI 1.2,2017,14642.3,12427.4,Petrol,Individual,Manual,First Owner,1197.0,81.8,49.89,5.0
Maruti Alto 800 LXI,2018,7188.04,12427.4,Petrol,Individual,Manual,First Owner,796.0,47.3,58.1,5.0
Maruti Swift Dzire AMT VXI BS IV,2018,18635.66,4846.7,Petrol,Individual,Automatic,First Owner,1197.0,81.8,51.75,5.0
Maruti Swift VXI Optional,2017,13311.18,12427.4,Petrol,Individual,Manual,First Owner,1197.0,81.8,47.98,5.0
Tata Hexa XE,2019,33277.96,9320.6,Diesel,Individual,Manual,First Owner,2179.0,147.94,41.4,7.0
Hyundai i20 Magna,2013,8519.16,19496.8,Petrol,Individual,Manual,Second Owner,1197.0,82.85,43.51,5.0
Maruti Swift Dzire VDI,2018,18635.66,31068.6,Diesel,Individual,Manual,First Owner,1248.0,74.02,66.8,5.0
Maruti Wagon R VXI BS IV,2015,7720.49,37282.3,Petrol,Individual,Manual,First Owner,998.0,67.04,48.24,5.0
Toyota Corolla Altis 1.8 VL AT,2012,14642.3,62137.1,Petrol,Individual,Automatic,First Owner,1794.0,138.1,34.18,5.0
Honda Brio S MT,2012,7054.93,37282.3,Petrol,Individual,Manual,First Owner,1198.0,86.8,45.63,5.0
Maruti Baleno Alpha Automatic,2018,22096.57,3106.9,Petrol,Individual,Automatic,First Owner,1197.0,83.1,50.34,5.0
Tata Safari Storme EX,2017,21297.9,37282.3,Diesel,Individual,Manual,First Owner,2179.0,147.94,33.17,7.0
Maruti Alto LXi,2011,4259.58,15534.3,Petrol,Individual,Manual,Second Owner,796.0,46.3,46.34,5.0
Renault KWID RXT,2018,8918.49,18641.1,Petrol,Individual,Manual,First Owner,799.0,53.3,59.2,5.0
